TOP,VALUE,RISING,VALUE.1,Unnamed: 1,Unnamed: 3
furniture,100.0,furlenco furniture s,Breakout,,
furniture shop,10.0,wakefit furniture,4750%,,
furniture near me,8.0,wakefit,4550%,,
furniture design,7.0,furnishka furniture,3850%,,
furniture online,5.0,kakoli furniture,3750%,,
wood furniture,4.0,durian furniture b,2200%,,
table,4.0,nilkamal furniture i,1700%,,
bed,4.0,durian furniture d,1600%,,
sofa,4.0,shahberi furniture market,850%,,
furniture shop near me,4.0,old furniture buyers near me,700%,,
table furniture,4.0,wholesale furniture shop near me,650%,,
bed furniture,4.0,old furniture shop near me,600%,,
furniture market,4.0,wooden furniture shop near me,600%,,
wooden furniture,4.0,2nd hand furniture shop near me,450%,,
home furniture,3.0,furniture plural form,450%,,
sofa furniture,3.0,best furniture shop near me,450%,,
best furniture,3.0,royaloak furniture,400%,,
office furniture,3.0,furniture manufacturers near me,400%,,
फर्नीचर,3.0,second hand furniture shop near me,400%,,
furniture rent,3.0,royaloak,350%,,
old furniture,3.0,second hand furniture near me,350%,,
farnichar,3.0,office furniture shop near me,350%,,
furniture shops,3.0,wooden street,350%,,
kitchen,2.0,wooden street furniture,350%,,
olx furniture,2.0,furniture shop near me,300%,,
interior,,kia sonet interior,,100.0,Breakout
interior design,,ai interior design,,49.0,Breakout
house,,interior ai,,34.0,Breakout
house design,,ganpati decoration ideas,,32.0,4550%
decor,,aesthetic room decor,,18.0,3500%
interior designer,,2 floor house design in village,,11.0,2250%
home decor,,house design photo in village,,9.0,2000%
decoration,,low cost simple village house design picture,,9.0,1750%
home design,,diya decoration ideas,,8.0,1550%
home interior,,toyota vellfire interior,,7.0,1550%
interiors,,diwali decoration ideas,,7.0,1400%
room interior,,simple village house design in india,,7.0,850%
room design,,altroz interior,,6.0,800%
house interior,,village house design,,6.0,650%
interior room design,,home decor shop near me,,5.0,600%
interior designers,,tata altroz interior,,5.0,600%
interior home design,,wall hanging decor,,5.0,550%
home interior design,,birthday decoration,,5.0,550%
interior designing,,interior designer near me,,4.0,550%
bedroom interior,,minecraft house design,,4.0,500%
bedroom design,,wall decor items,,4.0,500%
house interior design,,wall decor for living room,,3.0,450%
kitchen interior,,100 gaj house design,,3.0,350%
wall decor,,wall decor,,3.0,350%
bedroom interior design,,home decor near me,,3.0,350%
home decor,100.0,white home decor,Breakout,,
ikea,25.0,blue home decor,Breakout,,
ikea home decor,24.0,black home decor,Breakout,,
white home decor,20.0,home decor ideas,Breakout,,
blue home decor,10.0,home decor items,Breakout,,
black home decor,10.0,green home decor,Breakout,,
home decor ideas,8.0,pink home decor,Breakout,,
home decor items,7.0,yellow home decor,Breakout,,
green home decor,7.0,purple home decor,Breakout,,
pink home decor,5.0,black and white home decor,Breakout,,
yellow home decor,5.0,red home decor,Breakout,,
purple home decor,4.0,grey home decor,Breakout,,
black and white home decor,4.0,ikea home decor ideas,Breakout,,
red home decor,3.0,turquoise home decor,Breakout,,
grey home decor,3.0,rose gold home decor,Breakout,,
home decor accents,3.0,home decor,110%,,
home decor,,mckinnon home furnishings palatka fl,,100.0,Breakout
furnishing,,rc willey home furnishings,,77.0,Breakout
home furnishing,,noble house home furnishings,,76.0,Breakout
home furniture,,ikea home furnishings,,59.0,180%
furniture,,furnishings shop near me,,58.0,180%
home furnishings store,,ikea,,54.0,170%
home furnishings near me,,home furnishings near me,,41.0,130%
furnishings near me,,furnishings near me,,41.0,120%
best home furnishings,,darpan furnishings,,40.0,100%
online home furnishings,,darpan,,35.0,90%
ikea home furnishings,,luxury home furnishings,,30.0,80%
ikea,,home furnishings store,,30.0,60%
darpan,,at home furnishings,,30.0,60%
darpan furnishings,,home furnishings company,,29.0,50%
